borrowing_id,book_id,member_id,date_of_borrowing,fine
76,B021,M013,02-11-2023,20
128,B076,M012,26-07-2024,50
126,B068,M010,27-05-2024,0
36,B027,M013,07-08-2024,50
135,B107,M015,01-05-2023,10
37,B005,M010,30-07-2024,50
116,B127,M002,27-08-2024,30
43,B080,M006,11-01-2024,10
78,B102,M006,12-06-2023,20
30,B142,M005,22-10-2024,20
128,B053,M001,12-02-2023,30
108,B120,M014,31-01-2023,50
144,B017,M010,09-03-2024,0
24,B084,M013,18-07-2023,0
94,B077,M019,15-11-2023,50
100,B092,M001,19-10-2023,20
134,B065,M009,20-09-2024,50
122,B083,M007,29-11-2023,30
125,B064,M008,10-12-2023,30
49,B150,M011,14-06-2024,50
119,B043,M010,03-04-2024,50
35,B091,M006,06-12-2023,20
34,B104,M009,18-06-2023,30
58,B037,M010,20-12-2023,20
59,B044,M012,25-06-2023,0
62,B125,M019,25-06-2024,30
71,B083,M012,04-08-2024,10
74,B109,M012,23-10-2024,50
133,B122,M011,19-07-2024,20
77,B031,M014,23-05-2024,50
34,B002,M006,06-10-2024,0
135,B117,M010,04-09-2024,50
112,B010,M015,21-09-2024,0
93,B126,M012,05-07-2024,30
147,B069,M011,06-01-2024,0
133,B121,M019,28-01-2023,50
144,B013,M006,24-05-2023,0
132,B126,M009,05-02-2024,10
84,B106,M011,22-09-2023,30
99,B069,M012,12-08-2024,0
58,B099,M008,20-02-2023,0
118,B042,M005,19-06-2023,0
64,B109,M003,08-08-2024,0
48,B101,M001,26-09-2024,10
60,B150,M017,26-05-2023,20
47,B097,M011,06-05-2024,0
148,B047,M014,08-06-2024,10
148,B028,M017,26-09-2023,0
112,B131,M009,01-02-2023,30
69,B103,M017,04-10-2024,50
85,B010,M003,04-04-2023,20
125,B068,M012,16-06-2024,30
87,B074,M013,30-07-2023,10
99,B004,M013,16-01-2023,0
123,B105,M015,17-08-2023,0
71,B138,M016,29-09-2024,30
95,B068,M005,25-05-2023,20
150,B143,M003,16-08-2023,30
134,B026,M008,10-07-2023,50
118,B024,M009,24-11-2023,0
130,B110,M015,21-05-2023,10
117,B077,M004,24-03-2024,0
81,B039,M017,12-05-2024,0
41,B141,M011,03-04-2024,10
58,B130,M013,19-12-2023,10
43,B094,M015,11-08-2024,10
58,B046,M017,20-12-2023,0
133,B092,M005,17-10-2023,20
149,B011,M007,23-05-2024,20
53,B017,M005,03-05-2023,20
63,B018,M012,04-01-2023,30
139,B088,M017,23-01-2024,20
117,B075,M020,19-03-2023,0
31,B018,M018,10-09-2024,30
97,B100,M011,17-04-2024,0
100,B023,M013,21-03-2024,30
47,B108,M010,04-02-2024,10
129,B081,M019,20-05-2024,30
92,B003,M006,16-02-2023,30
126,B102,M001,06-05-2023,30
107,B006,M010,26-12-2023,10
123,B096,M019,31-07-2024,0
150,B075,M016,14-02-2023,50
133,B115,M003,07-11-2023,10
49,B029,M009,29-04-2024,30
78,B123,M003,23-10-2023,10
110,B005,M008,22-06-2024,0
110,B030,M005,11-01-2024,10
98,B123,M002,09-12-2023,10
85,B080,M013,17-02-2024,20
129,B116,M012,12-04-2023,30
99,B090,M017,07-03-2024,0
36,B048,M005,05-12-2023,10
25,B145,M012,26-08-2024,10
31,B132,M008,09-09-2024,0
35,B025,M012,03-03-2024,50
55,B115,M004,24-03-2024,0
135,B133,M002,04-10-2023,0
39,B042,M015,12-05-2024,0
61,B150,M013,08-07-2024,0
133,B060,M001,28-01-2023,10
147,B057,M006,22-08-2023,0
143,B084,M001,16-04-2023,10
85,B141,M002,18-08-2023,10
28,B008,M009,28-03-2023,50
125,B035,M004,21-01-2024,30
142,B105,M015,11-03-2024,10
60,B089,M020,08-01-2023,10
112,B086,M001,07-10-2024,0
132,B139,M004,29-09-2023,30
23,B056,M002,10-06-2024,50
84,B068,M014,28-10-2023,20
101,B140,M017,30-07-2024,0
125,B110,M014,10-04-2023,10
28,B030,M008,17-06-2024,0
135,B146,M001,30-05-2024,20
45,B001,M016,21-10-2024,20
25,B081,M003,08-04-2024,50
48,B001,M005,04-06-2024,10
121,B057,M007,10-02-2023,50
146,B095,M007,10-10-2023,30
63,B018,M014,11-12-2023,10
74,B127,M011,11-01-2023,10
29,B046,M009,27-08-2023,50
22,B016,M009,12-09-2024,20
116,B046,M008,13-05-2024,50
139,B080,M004,20-09-2024,10
54,B127,M009,24-08-2024,20
78,B064,M007,22-09-2024,10
65,B004,M009,27-08-2024,30
64,B050,M015,16-08-2024,0
47,B138,M003,27-01-2023,50
90,B086,M012,14-11-2023,30
77,B017,M008,05-09-2023,20
134,B105,M019,16-10-2023,10
55,B118,M001,10-02-2023,30
116,B012,M018,29-03-2023,10
109,B047,M006,19-02-2024,50
91,B027,M019,20-11-2023,50
127,B127,M020,27-03-2024,20
85,B072,M006,09-01-2023,0
64,B123,M004,19-08-2024,20
149,B070,M014,28-08-2023,0
116,B072,M016,26-11-2023,10
61,B009,M011,28-10-2023,50
93,B012,M009,09-05-2024,30
126,B112,M012,11-02-2023,10
92,B062,M005,06-08-2024,0
80,B149,M020,26-06-2024,10
137,B012,M018,06-09-2023,50
